id,text,text_clean,label,sentiment_label,emotion,emotion_group,category,product_type,word_count,word_count_clean,length_bucket,helpfulness_score,implicit_flag,is_spam,language,baseline2_label_text
11,"I have bought several items from this seller. The shipping is done via usps with the utmost care for the collectibles. Packaging is professionally done so there is very little chance for your item to get lost. All the items that I have bought have been described as such, new and of very high Adidas quality. The Soxs are of great value to and I am looking forward to buying some more from this seller. The Size its truly a Mens Large. Thank you!",i have bought several items from this seller the shipping is done via usps with the utmost care for the collectibles packaging is professionally done so there is very little chance for your item to get lost all the items that i have bought have been described as such new and of very high adidas quality the soxs are of great value to and i am looking forward to buying some more from this seller the size its truly a mens large thank you,2,positive,Relief,positive,Clothing & Sportswear,Shoes,84,84,long,0,0,0,en,positive
12,"I have bought several items from this seller. The shipping is done via usps with the utmost care for the collectibles. Packaging is professionally done so there is very little chance for your item to get lost. All the items that I have bought have been described as such, new and of very high Adidas quality. The Soxs are of great value to and I am looking forward to buying some more from this seller. Thank you!",i have bought several items from this seller the shipping is done via usps with the utmost care for the collectibles packaging is professionally done so there is very little chance for your item to get lost all the items that i have bought have been described as such new and of very high adidas quality the soxs are of great value to and i am looking forward to buying some more from this seller thank you,2,positive,Relief,positive,Clothing & Sportswear,Shoes,77,77,long,7,0,0,en,positive
13,Great product. I liked the price for the quality. Shipping cost was reasonable and in line with communicated timing. The item was brand new in packaging as expected. Colors matched the description. Known seller that met expectations and would purchase from again.,great product i liked the price for the quality shipping cost was reasonable and in line with communicated timing the item was brand new in packaging as expected colors matched the description known seller that met expectations and would purchase from again,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,42,42,long,3,0,0,en,positive
14,"Item as described: NEW, with tags. Leggings arrived sealed in mylar bag direct from the manufacturer and look exactly as pictured. No rips, holes, stains or strange smells. The soft yet vibrant blue is stunning. Quality material supports without restricting. Prompt shipment. Great transaction. Great value as you would pay twice as much retail. Thanks much!!!!",item as described new with tags leggings arrived sealed in mylar bag direct from the manufacturer and look exactly as pictured no rips holes stains or strange smells the soft yet vibrant blue is stunning quality material supports without restricting prompt shipment great transaction great value as you would pay twice as much retail thanks much,2,positive,Relief,positive,Clothing & Sportswear,Shoes,56,56,long,0,0,0,en,positive
15,"AAAAA+ Seller serious. Item as described an original. Appearance is pristine and looks amazing. Packaged in box, so really nice to avoid damage. Still received in good condition. And the quality of the materials looks amazing. Value is 5/5 price and quality comparison. NEVER LET YOU DOWN. It was a gift for a friend, it took more days because it was holidays and we know that NYC is pretty rush... but everything good. Will do business again. Thanks",aaaaa seller serious item as described an original appearance is pristine and looks amazing packaged in box so really nice to avoid damage still received in good condition and the quality of the materials looks amazing value is 5 5 price and quality comparison never let you down it was a gift for a friend it took more days because it was holidays and we know that nyc is pretty rush but everything good will do business again thanks,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,78,79,long,0,0,0,en,positive
16,"The order arrived sooner than expected. Packaged well - straight from the manufacturer brand new, wrapped and with tags. Everything was in Brand New condition, great quality with no flaws or defects - As described. Overall, I am very satisfied with every aspect of the transaction - Great price, fast and free shipping, excellent, brand new products - Definitely recommend buying from this seller! Thank you for the smooth transaction!",the order arrived sooner than expected packaged well straight from the manufacturer brand new wrapped and with tags everything was in brand new condition great quality with no flaws or defects as described overall i am very satisfied with every aspect of the transaction great price fast and free shipping excellent brand new products definitely recommend buying from this seller thank you for the smooth transaction,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,70,66,long,0,0,0,en,positive
17,"Purchased many items throughout the years from Adidas Direct Brand. The items ordered are authentic Adidas high quality items, brand new condition, and the prices are discounted. Their customer support / communication support are always professional, prompt, and resolves my questions or concerns in a timely manner. Plus, the buying experiences are always positive, and I greatly appreciate the consistent First Class service I receive. Highly recommend this seller and their products. A+ 5鈽?TY !",purchased many items throughout the years from adidas direct brand the items ordered are authentic adidas high quality items brand new condition and the prices are discounted their customer support communication support are always professional prompt and resolves my questions or concerns in a timely manner plus the buying experiences are always positive and i greatly appreciate the consistent first class service i receive highly recommend this seller and their products a 5 ty,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,76,74,long,0,0,0,en,positive
18,"Fabulous!!!! Brand new in box, perfect price for my budget and exactly what I wanted. Quality and appearance were perfect. Shipping was free and next day which I wasn鈥檛 expecting so even better! I鈥檇 definitely recommend this seller!!!!! Thank you! PS I didn鈥檛 need communication but the shipping tracking info is considered that right? It was there!!!",fabulous brand new in box perfect price for my budget and exactly what i wanted quality and appearance were perfect shipping was free and next day which i wasn t expecting so even better i d definitely recommend this seller thank you ps i didn t need communication but the shipping tracking info is considered that right it was there,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,57,60,long,1,0,0,en,positive
19,"(炉`v麓炉)鈾?Great Business 鈾?Pleasant Transaction 鈾?Excellent Seller 鈾?炉`v麓炉) I ordered these on Monday, and they arrived on Wednesday. They are exactly as described by the seller. The value was great, as of now they are much more money. The quality is what you should expect from Adidas. Thank you for your swift shipping and great price!",v great business pleasant transaction excellent seller v i ordered these on monday and they arrived on wednesday they are exactly as described by the seller the value was great as of now they are much more money the quality is what you should expect from adidas thank you for your swift shipping and great price,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,58,56,long,1,0,0,en,positive
20,"I鈥檝e purchased over and over, The items arrived exactly as described - brand new, sealed, and in perfect condition. The seller shipped incredibly promptly, and the packaging showed great care, ensuring the item was well-protected during transit. Communication was excellent, and overall, this was a smooth and highly satisfying transaction.",i ve purchased over and over the items arrived exactly as described brand new sealed and in perfect condition the seller shipped incredibly promptly and the packaging showed great care ensuring the item was well protected during transit communication was excellent and overall this was a smooth and highly satisfying transaction,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,50,51,long,0,0,0,en,positive
21,"Price, shipping time, condition and packaging were absolutely perfect... the last pair of new shoes I bought were flawed and the box looked like 4 dogs chewed on it, these arrived in 2 days, were packaged in 2 boxes, and shoes are flawless, also the prices was amazing. Will definitely order from again 馃榿馃憣",price shipping time condition and packaging were absolutely perfect the last pair of new shoes i bought were flawed and the box looked like 4 dogs chewed on it these arrived in 2 days were packaged in 2 boxes and shoes are flawless also the prices was amazing will definitely order from again,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,54,53,long,1,0,0,en,positive
22,"Item arrived exactly as described with excellent quality and looks great! Great value for the price! Shipping was fast, and the packaging was secure, ensuring everything arrived in perfect condition. Seller communication was prompt and helpful throughout. Highly recommend this seller and would definitely buy from again!",item arrived exactly as described with excellent quality and looks great great value for the price shipping was fast and the packaging was secure ensuring everything arrived in perfect condition seller communication was prompt and helpful throughout highly recommend this seller and would definitely buy from again,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,47,47,long,0,0,0,en,positive
23,"At my third purchase from seller. Excellent packaging and super fast delivery. Great prices. Excellent communication and very helpful customer care. Will be doing more business in the future. Product quality as described, new and flawless.",at my third purchase from seller excellent packaging and super fast delivery great prices excellent communication and very helpful customer care will be doing more business in the future product quality as described new and flawless,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,36,36,long,0,0,0,en,positive
24,"Fast shipping!!! Item arrived just as described, in box , for a great price! I waited less than 12 hours and my item was delivered! Will be back to order more.",fast shipping item arrived just as described in box for a great price i waited less than 12 hours and my item was delivered will be back to order more,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,31,30,long,0,0,0,en,positive
25,"The shoes were delivered at the incorrect address (no fault of seller). I contacted them to explain what happened. They were courteous enough to issue a refund for the item. I will continue to purchase from eBay Adidas. The prices are incomparable to regular adidas stores/outlets, and the customer service is awesome. Thank you!",the shoes were delivered at the incorrect address no fault of seller i contacted them to explain what happened they were courteous enough to issue a refund for the item i will continue to purchase from ebay adidas the prices are incomparable to regular adidas stores outlets and the customer service is awesome thank you,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,54,55,long,1,0,0,en,positive
26,Item was well packaged and came as described. Great value. The seller quickly shipped this out the following day. Thank you for being responsive. Highly recommended!,item was well packaged and came as described great value the seller quickly shipped this out the following day thank you for being responsive highly recommended,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,26,26,long,3,0,0,en,positive
27,"Entire process was perfect!! I had 2 orders from this seller and both were incredible. Each item was priced very well plus shipping was really really fast. All items I received were brand new in boxes, with tags and in perfect condition. Superb quality items that looked as if I had purchased in person at a retail store. Highly recommend this seller!! If you are looking for adidas gear, this IS your seller!!!!",entire process was perfect i had 2 orders from this seller and both were incredible each item was priced very well plus shipping was really really fast all items i received were brand new in boxes with tags and in perfect condition superb quality items that looked as if i had purchased in person at a retail store highly recommend this seller if you are looking for adidas gear this is your seller,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,73,73,long,0,0,0,en,positive
28,AA+ Seller serious. Item as described an original. Appearance is pristine and looks amazing. Packaged in a box with the rest of the products. Really good in order to avoid damage. Still received in good condition. And the quality of the materials looks amazing. Value is 5/5 price and quality comparison. Will do business again. My favourite seller at Ebay. I didnt like that its not True to size. I purchased 9 1/2 and it looks I should go with 1/2 size up. Thanks,aa seller serious item as described an original appearance is pristine and looks amazing packaged in a box with the rest of the products really good in order to avoid damage still received in good condition and the quality of the materials looks amazing value is 5 5 price and quality comparison will do business again my favourite seller at ebay i didnt like that its not true to size i purchased 9 1 2 and it looks i should go with 1 2 size up thanks,2,positive,Relief,positive,Clothing & Sportswear,Shoes,84,87,long,1,0,0,en,positive
29,"Great service as usually. Received pants as advertised brand new and packed very well. Given as a gift. Adidas quality is usually excellent, so no worries. Got at a fantastic price during a sale. Thanks",great service as usually received pants as advertised brand new and packed very well given as a gift adidas quality is usually excellent so no worries got at a fantastic price during a sale thanks,2,positive,Relief,positive,Clothing & Sportswear,Shoes,35,35,long,1,0,0,en,positive
30,AA+ Seller serious. Item as described an original. Appearance is pristine and looks amazing. Packaged in a box with the rest of the products. Really good in order to avoid damage. Still received in good condition. And the quality of the materials looks amazing. Value is 5/5 price and quality comparison. Will do business again. My favourite seller at Ebay. Thanks,aa seller serious item as described an original appearance is pristine and looks amazing packaged in a box with the rest of the products really good in order to avoid damage still received in good condition and the quality of the materials looks amazing value is 5 5 price and quality comparison will do business again my favourite seller at ebay thanks,2,positive,Relief,positive,Clothing & Sportswear,Shoes,61,62,long,0,0,0,en,positive
31,"I love the Adidas official online store, so much. If I have a problem, which I never do. I can return within due time and they email me the return label. They are always helpful, prompt and kind, their customer service is stellar. The Japan H sneakers are high quality leather, value is so low, I should get another pair, free shipping, beautiful boxing shoe design and they're brand new with the box included. Thank you 馃槉",i love the adidas official online store so much if i have a problem which i never do i can return within due time and they email me the return label they are always helpful prompt and kind their customer service is stellar the japan h sneakers are high quality leather value is so low i should get another pair free shipping beautiful boxing shoe design and they're brand new with the box included thank you,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,77,76,long,1,0,0,en,positive
32,"Outstanding eBay seller! Fantastic communication and an absolute pleasure to work with. The price was more than fair, the item was packaged with great care, and shipping was incredibly fast. It exceeded my expectations in every way 鈥?I couldn鈥檛 be happier. Highly, highly recommended!",outstanding ebay seller fantastic communication and an absolute pleasure to work with the price was more than fair the item was packaged with great care and shipping was incredibly fast it exceeded my expectations in every way i couldn t be happier highly highly recommended,2,positive,Relief,positive,Clothing & Sportswear,Shoes,45,45,long,0,0,0,en,positive
33,Great product and price for the quality. Would purchase from this seller again. Shipping cost was reasonable and in line with communicated timing. The item was brand new in packaging as expected and colors matched the description.,great product and price for the quality would purchase from this seller again shipping cost was reasonable and in line with communicated timing the item was brand new in packaging as expected and colors matched the description,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,37,37,long,0,0,0,en,positive
34,"Perfect seller, very fast shipping, good communications. Item is as described for 100%, good price, well-packed! Thank you so much.",perfect seller very fast shipping good communications item is as described for 100 good price well packed thank you so much,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,20,21,long,5,0,0,en,positive
35,Great items/prices and a great seller! Very pleased. Items were carefully packaged and promptly shipped鈥?they also were accurately described in the listing(s)鈥?Would not hesitate to purchase more from this seller! An easy smooth transaction! Thanks very much ! A+++,great items prices and a great seller very pleased items were carefully packaged and promptly shipped they also were accurately described in the listing s would not hesitate to purchase more from this seller an easy smooth transaction thanks very much a,2,positive,Relief,positive,Clothing & Sportswear,Shoes,41,42,long,6,0,0,en,positive
36,"I have purchased a large amount of items from this seller, and, so far, I have been extremely pleased. A couple of times there was a little snafu, but the seller responded quickly and remedied the situation. The items are always 鈥渘ew鈥? as described and promptly shipped via FedEx. I highly recommend them if you want adidas products at a reasonable price.",i have purchased a large amount of items from this seller and so far i have been extremely pleased a couple of times there was a little snafu but the seller responded quickly and remedied the situation the items are always new as described and promptly shipped via fedex i highly recommend them if you want adidas products at a reasonable price,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,62,62,long,3,0,0,en,positive
37,Fantastic buy. Very nice shoes. Perfect transaction. Brand new just as described. Have purchased from this seller before and they always give super good deals on brand new merchandise straight from the factory. Ships quickly and packaged very nicely. Will continue to buy from this seller!!,fantastic buy very nice shoes perfect transaction brand new just as described have purchased from this seller before and they always give super good deals on brand new merchandise straight from the factory ships quickly and packaged very nicely will continue to buy from this seller,2,positive,Relief,positive,Clothing & Sportswear,Shoes,46,46,long,0,0,0,en,positive
38,"Everything was great and it arrived on 12/14. I saw the notice at 3 am. I did not get out of bed to retrieve it. Monday12/15 I rush to work and package was not where the fed ex person left it. I get home from work and package is nowhere to be found. So that has nothing to do with the seller. Seller was great, Fed Ex left package right near the entrance instead in the mail/package area.",everything was great and it arrived on 12 14 i saw the notice at 3 am i did not get out of bed to retrieve it monday12 15 i rush to work and package was not where the fed ex person left it i get home from work and package is nowhere to be found so that has nothing to do with the seller seller was great fed ex left package right near the entrance instead in the mail package area,2,positive,Relief,positive,Clothing & Sportswear,Shoes,78,81,long,0,0,0,en,positive
39,"Well, this is my second order in about a week. First order came exactly 3 days ago and someone mistakenly ( stole ) took it home with them. The next day I ordered another one, that was 2 days ago and I just received the new one tonight!! I am beyond happy with the service and the quality of the product and the price, which I got an EBAY discount with from an already low price. For what I paid for two of these is still cheaper that what these cost in the store at retail. Thank you!!",well this is my second order in about a week first order came exactly 3 days ago and someone mistakenly stole took it home with them the next day i ordered another one that was 2 days ago and i just received the new one tonight i am beyond happy with the service and the quality of the product and the price which i got an ebay discount with from an already low price for what i paid for two of these is still cheaper that what these cost in the store at retail thank you,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,98,96,long,2,0,0,en,positive
40,"Perfect! Priced well, shipped immediately, exactly as seller described and pictured. And packaged the way I'd do it... if there's anything more you can ask for from a seller I don't know what it is. Only down side is the shipper being slow, but seller did everything right!!",perfect priced well shipped immediately exactly as seller described and pictured and packaged the way i'd do it if there's anything more you can ask for from a seller i don't know what it is only down side is the shipper being slow but seller did everything right,2,positive,Relief,positive,Clothing & Sportswear,Shoes,48,48,long,1,0,0,en,positive
41,"What a great experience. It was an incredible deal delivered perfectly in a sturdy Adidas box within a sturdy packaging box. Everything was as described and the Adidas product screams quality. Incredible to get this type of quality product in brand new condition and a great appearance. So happy with this awesome transaction. Thanks! I will be a repeat customer at the Adidas store, for sure!",what a great experience it was an incredible deal delivered perfectly in a sturdy adidas box within a sturdy packaging box everything was as described and the adidas product screams quality incredible to get this type of quality product in brand new condition and a great appearance so happy with this awesome transaction thanks i will be a repeat customer at the adidas store for sure,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,66,66,long,0,0,0,en,positive
42,"I did not receive my order. The seller sent the Parcel via FedEx. They lost it somewhere. An investigation is underway and they still can't find the package. The seller refunded me the entire amount. I highly recommend this professional seller, who is not to blame for anything. He was framed by FedEx",i did not receive my order the seller sent the parcel via fedex they lost it somewhere an investigation is underway and they still can't find the package the seller refunded me the entire amount i highly recommend this professional seller who is not to blame for anything he was framed by fedex,2,positive,Relief,positive,Clothing & Sportswear,Shoes,53,53,long,1,0,0,en,positive
43,"Overall I'm satisfied with the great people at adidas. I purchased a pair of Adidas runfalcon 5. There was trouble with FedEx. It took some investigation by adidas to figure out what happen to my shoes. I asked for a refund. I was given one. After some more investigation on adidas part. Almost 4 days later, my shoes showed up at my door step. The original FedEx driver said he had delivered them, with no proof. I contacted adidas today to see what I can do next. Because I really like the shoes.",overall i'm satisfied with the great people at adidas i purchased a pair of adidas runfalcon 5 there was trouble with fedex it took some investigation by adidas to figure out what happen to my shoes i asked for a refund i was given one after some more investigation on adidas part almost 4 days later my shoes showed up at my door step the original fedex driver said he had delivered them with no proof i contacted adidas today to see what i can do next because i really like the shoes,2,positive,Relief,positive,Clothing & Sportswear,Shoes,93,93,long,0,0,0,en,positive
44,"Although the box arrived completely open as you can see in the picture, the set appears to be in good condition; it doesn't look torn or damaged. However, it's a gift and I can't open it until December 25th when the recipient opens it. ** The color of the set is beautiful, the price was a bargain, and the shipping was super fast** THANK YOU!",although the box arrived completely open as you can see in the picture the set appears to be in good condition it doesn't look torn or damaged however it's a gift and i can't open it until december 25th when the recipient opens it the color of the set is beautiful the price was a bargain and the shipping was super fast thank you,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,65,64,long,4,0,0,en,positive
45,"猸愶笍猸愶笍猸愶笍猸愶笍猸愶笍 Excellent experience! Great seller and smooth transaction from start to finish. The items arrived exactly as described and were packaged well. Communication was clear, shipping was prompt, and overall this was a great buying experience. I would definitely purchase from this seller again. Highly recommended!",excellent experience great seller and smooth transaction from start to finish the items arrived exactly as described and were packaged well communication was clear shipping was prompt and overall this was a great buying experience i would definitely purchase from this seller again highly recommended,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,46,45,long,0,0,0,en,positive
46,"AAAAA+ Seller serious. Item as described an original. Appearance is pristine and looks amazing. Packaged in box, so really nice to avoid damage. Still received in good condition. And the quality of the materials looks amazing. Value is 5/5 price and quality comparison. NEVER LET YOU DOWN. Will do business again. Thanks",aaaaa seller serious item as described an original appearance is pristine and looks amazing packaged in box so really nice to avoid damage still received in good condition and the quality of the materials looks amazing value is 5 5 price and quality comparison never let you down will do business again thanks,2,positive,Relief,positive,Clothing & Sportswear,Shoes,52,53,long,2,0,0,en,positive
47,I received the package within in 5 days of I placed the order. Item was as described and packed carefully with necessary padding. No problems. Would buy from this seller again.,i received the package within in 5 days of i placed the order item was as described and packed carefully with necessary padding no problems would buy from this seller again,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,31,31,long,0,0,0,en,positive
48,"Excellent Seller. Great Quality & Value NEW Adidas Blue Essentials Training Mens Tee, Beautiful Just As Described. PRO Packaging As Usual From Adidas DTC. Fastest Shipping From Wilkes-Barre, PA. Thank You Very Much Adi Dassler. DANKE SCHON!!!..",excellent seller great quality value new adidas blue essentials training mens tee beautiful just as described pro packaging as usual from adidas dtc fastest shipping from wilkes barre pa thank you very much adi dassler danke schon,2,positive,Satisfaction,positive,Clothing & Sportswear,Shoes,37,37,long,1,0,0,en,positive
49,Easy transaction with seller. Everything was exactly as described. Item is very new inbox with no visible defects. Item was shipped extremely fast and arrived earlier than originally estimated. Very happy with this purchase.,easy transaction with seller everything was exactly as described item is very new inbox with no visible defects item was shipped extremely fast and arrived earlier than originally estimated very happy with this purchase,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,34,34,long,1,0,0,en,positive
50,"Excellent Seller. Great NEW WITH TAGS Adidas Women's Adizero Aruku Purple Shoes Size 6, Just As Described. Fastest Shipping. Well (PRO) Packed, Great Quality & Value. Highly Recommended Seller. Another Pair Of Great Adidas Athletic Shoes. Thank You Very Much Again Adidas. Merry Christmas 2025 And A Happy NewYear 2026 !. .",excellent seller great new with tags adidas women's adizero aruku purple shoes size 6 just as described fastest shipping well pro packed great quality value highly recommended seller another pair of great adidas athletic shoes thank you very much again adidas merry christmas 2025 and a happy newyear 2026,2,positive,Amusement,positive,Clothing & Sportswear,Shoes,52,49,long,0,0,0,en,positive
51,"The problem is that I shipped it to a shipping company鈥檚 address that delivers to Egypt, but they asked for $70 for a pair of shoes that cost $17. So I refused. Then they asked me to pay $10 to remove the packaging and return the shoes to Adidas, so I won鈥檛 do that either , so i will let them keep it .",the problem is that i shipped it to a shipping company s address that delivers to egypt but they asked for 70 for a pair of shoes that cost 17 so i refused then they asked me to pay 10 to remove the packaging and return the shoes to adidas so i won t do that either so i will let them keep it,1,neutral,Confusion,neutral,Clothing & Sportswear,Shoes,64,64,long,4,0,0,en,neutral
52,"Nothing delivered, they said they run out of it. Communication is not good at all, I tried different ways to get in touch with them after no shipping or any information about the item after payment. It took awhile for them to answer my questions. I don鈥檛 know if I would recommend this seller.",nothing delivered they said they run out of it communication is not good at all i tried different ways to get in touch with them after no shipping or any information about the item after payment it took awhile for them to answer my questions i don t know if i would recommend this seller,1,neutral,Indifference,neutral,Clothing & Sportswear,Shoes,54,55,long,1,0,0,en,neutral
53,"Shoes are ""ok"". Arrived in a damaged box and they were a birthday gift so was disappointed about that. Also, the quality is not what I expected can see glue in places on the shoe. I reached out to the seller when I reviewed the shows in the mail. Explained to the seller exactly what I am stating in this review. (With photos) Seller never responded.",shoes are ok arrived in a damaged box and they were a birthday gift so was disappointed about that also the quality is not what i expected can see glue in places on the shoe i reached out to the seller when i reviewed the shows in the mail explained to the seller exactly what i am stating in this review with photos seller never responded,1,neutral,Confusion,neutral,Clothing & Sportswear,Shoes,66,66,long,3,0,0,en,neutral
54,"As described. Shipping was slow, very slow. Item was possibly misplaced by the shipping company? Tracking was updated for delivery 3 separate times. According to tracking, the item was within my area and was routed to Los Angeles. Horrible logistics. I was never contacted with any updates by seller.",as described shipping was slow very slow item was possibly misplaced by the shipping company tracking was updated for delivery 3 separate times according to tracking the item was within my area and was routed to los angeles horrible logistics i was never contacted with any updates by seller,1,neutral,Indifference,neutral,Clothing & Sportswear,Shoes,49,49,long,2,0,0,en,neutral
