id,text,text_clean,label,sentiment_label,emotion,emotion_group,category,word_count,word_count_clean,length_bucket,helpfulness_score,implicit_flag,is_spam,language,manual_label_normalized
58,i guess my shipment got tossed into a swamp oh well hmm,i guess my shipment got tossed into a swamp oh well,0,negative,Sarcasm,negative,Electronics,12,11,medium,1,1,0,en,negative
59,Honestly The package arrived looking like a swamp End of story,honestly the package arrived looking like a swamp end of story,0,negative,Frustration,negative,Electronics,11,11,medium,1,1,0,en,negative
60,the delivery went to another state anyway tbh,the delivery went to another state,0,negative,Frustration,negative,Clothing,8,6,short,4,1,0,en,negative
62,the package spent a week in another state make of that what you will,the package spent a week in another state make of that what you will,0,negative,Disappointment,negative,Automotive,14,14,medium,2,1,0,en,negative
63,The guy looked like it visited a puddle End of story wow,the guy looked like it visited a puddle end of story,0,negative,Disappointment,negative,Sports & Outdoors,12,11,medium,2,1,0,en,negative
64,Listen The carrier got tossed into the neighbor's trsah Anyway ok,listen the carrier got tossed into the neighbor's trsah ok,0,negative,Sarcasm,negative,Home & Kitchen,11,10,medium,6,1,0,en,negative
65,Wow The delivery was left near another state .,the delivery was left near another state,0,negative,Sarcasm,negative,Home & Kitchen,9,7,short,3,1,0,en,negative
66,Bruh  My shipment spent a week in the next town over Cheers .,my shipment spent a week in the next town over,0,negative,Frustration,negative,Automotive,13,10,medium,2,1,0,en,negative
68,Okay The tracking ended up in another state Cheers,okay the tracking ended up in another state,0,negative,Disappointment,negative,Automotive,9,8,medium,0,1,0,en,negative
69,Honestly The box was left near a warzone End of story tbh,honestly the box was left near a warzone end of story,0,negative,Sarcasm,negative,Automotive,12,11,medium,3,1,0,en,negative
70,first off the package ended up in a warzone ok,first off the package ended up in a warzone ok,0,negative,Frustration,negative,Electronics,10,10,medium,0,1,0,en,negative
72,Well The guy was left near a warzone Anyway,well the guy was left near a warzone,0,negative,Disappointment,negative,Automotive,9,8,medium,1,1,0,en,negative
73,honestly the carrier looked like it visited a puddle ok,honestly the carrier looked like it visited a puddle ok,0,negative,Disappointment,negative,Sports & Outdoors,10,10,medium,2,1,0,en,negative
74,The package went to a warzone Just putting it out there .,the package went to a warzone just putting it out there,0,negative,Disappointment,negative,Sports & Outdoors,12,11,medium,6,1,0,en,negative
75,Okay My shipment went to an accordion,okay my shipment went to an accordion,0,negative,Frustration,negative,Sports & Outdoors,7,7,short,0,1,0,en,negative
77,wow  the box spent a week in a swamp whatever wow,the box spent a week in a swamp,0,negative,Disappointment,negative,Automotive,11,8,medium,2,1,0,en,negative
78,listen the guy spent a week in the next town over make of that what you will hmm,listen the guy spent a week in the next town over make of that what you will,0,negative,Sarcasm,negative,Electronics,18,17,long,13,1,0,en,negative
79,Ok so The delivery was left near the next town over Fascinating .,ok so the delivery was left near the next town over,0,negative,Sarcasm,negative,Clothing,13,11,medium,6,1,0,en,negative
80,The box ended up in a swamp tbh,the box ended up in a swamp,0,negative,Disappointment,negative,Clothing,8,7,short,1,1,0,en,negative
81,Wow The box arrived looking like the next town over Oh well lol,the box arrived looking like the next town over oh well,0,negative,Sarcasm,negative,Electronics,13,11,medium,0,1,0,en,negative
82,well the package got tossed into another state ok,well the package got tossed into another state ok,0,negative,Sarcasm,negative,Home & Kitchen,9,9,medium,4,1,0,en,negative
83,My shipment spent a week in a warzone yeah,my shipment spent a week in a warzone,0,negative,Disappointment,negative,Home & Kitchen,9,8,medium,11,1,0,en,negative
85,If im being real The box arrived looking like a puddle Yup lol,if im being real the box arrived looking like a puddle,0,negative,Frustration,negative,Clothing,13,11,medium,0,1,0,en,negative
86,Ok so My shipment ended up in the neighbor's trash .,ok so my shipment ended up in the neighbor's trash,0,negative,Frustration,negative,Home & Kitchen,11,10,medium,2,1,0,en,negative
87,if im being real my shipment was left near an accordion hmm,if im being real my shipment was left near an accordion,0,negative,Frustration,negative,Automotive,12,11,medium,2,1,0,en,negative
90,so the guy arrived looking like an accordion just putting it out there wow,so the guy arrived looking like an accordion just putting it out there,0,negative,Sarcasm,negative,Electronics,14,13,medium,1,1,0,en,negative
91,I guess The package was left near the neighbors trash End of story lol,i guess the package was left near the neighbors trash end of story,0,negative,Sarcasm,negative,Clothing,14,13,medium,1,1,0,en,negative
94,Okay  My shipment went to another state Oh well,okay my shipment went to another state oh well,0,negative,Sarcasm,negative,Home & Kitchen,9,9,medium,0,1,0,en,negative
95,Bruh The tracking ended up in hte next town over End of story hmm,the tracking ended up in hte next town over end of story,0,negative,Frustration,negative,Clothing,14,12,medium,0,1,0,en,negative
96,The  carrier went to another state Fascinating ok,the carrier went to another state ok,0,negative,Disappointment,negative,Automotive,8,7,short,2,1,0,en,negative
97,Wow  The delivery ended up in a warzone,the delivery ended up in a warzone,0,negative,Sarcasm,negative,Clothing,8,7,short,2,1,0,en,negative
98,Ok so The carrier was left near a swamp ok,ok so the carrier was left near a swamp ok,0,negative,Frustration,negative,Automotive,10,10,medium,7,1,0,en,negative
99,First off The package was left near another state Take it orl eave it smh,first off the package was left near another state take it orl eave it,0,negative,Sarcasm,negative,Clothing,15,14,medium,0,1,0,en,negative
100,Okay My shipment looked like it visited a puddle lol,okay my shipment looked like it visited a puddle,0,negative,Frustration,negative,Home & Kitchen,10,9,medium,0,1,0,en,negative
101,look the package was left near the enighbors trash whatever wow,look the package was left near the enighbors trash,0,negative,Disappointment,negative,Home & Kitchen,11,9,medium,1,1,0,en,negative
102,The tracking was left near another state Just putting it out there .,the tracking was left near another state just putting it out there,0,negative,Sarcasm,negative,Automotive,13,12,medium,0,1,0,en,negative
103,so my shipment was left near a puddle oh well yeah,so my shipment was left near a puddle oh well,0,negative,Frustration,negative,Electronics,11,10,medium,0,1,0,en,negative
104,okay the tracking arrived looking like the negihbor's trash anyway tbh,okay the tracking arrived looking like the negihbor's trash,0,negative,Disappointment,negative,Home & Kitchen,11,9,medium,1,1,0,en,negative
105,Wow The box ended up in an accordion,the box ended up in an accordion,0,negative,Disappointment,negative,Home & Kitchen,8,7,short,3,1,0,en,negative
106,I guess My shipment got tossed into a warzone Oh well,i guess my shipment got tossed into a warzone oh well,0,negative,Disappointment,negative,Clothing,11,11,medium,1,1,0,en,negative
107,Look Thet racking ended up in the neighbor's trash,look thet racking ended up in the neighbor's trash,0,negative,Frustration,negative,Clothing,9,9,medium,1,1,0,en,negative
108,Ok so The guy spent a week in another state,ok so the guy spent a week in another state,0,negative,Disappointment,negative,Automotive,10,10,medium,0,1,0,en,negative
109,The  tracking ended up in an accordion Just putting it out there,the tracking ended up in an accordion just putting it out there,0,negative,Frustration,negative,Sports & Outdoors,12,12,medium,1,1,0,en,negative
110,The  delivery went to a swamp,the delivery went to a swamp,0,negative,Frustration,negative,Automotive,6,6,short,0,1,0,en,negative
111,Bruh The guy was left near an accordion Take it or leave it ok,the guy was left near an accordion take it or leave it ok,0,negative,Frustration,negative,Electronics,14,13,medium,1,1,0,en,negative
112,bruh the delivery looked like it visited an accordion cheers !!,the delivery looked like it visited an accordion,0,negative,Frustration,negative,Home & Kitchen,11,8,medium,1,1,0,en,negative
113,listen the guy looked like it visited an accordion fascinating lol,listen the guy looked like it visited an accordion,0,negative,Sarcasm,negative,Clothing,11,9,medium,0,1,0,en,negative
114,look my shipment spent a week in  apuddle oh well tbh,look my shipment spent a week in apuddle oh well,0,negative,Disappointment,negative,Automotive,11,10,medium,3,1,0,en,negative
115,The  delivery looked like it visited a puddle Oh well ok,the delivery looked like it visited a puddle oh well ok,0,negative,Sarcasm,negative,Electronics,11,11,medium,0,1,0,en,negative
116,The  carrier was left near another state Make of that what you will tbh,the carrier was left near another state make of that what you will,0,negative,Sarcasm,negative,Electronics,14,13,medium,0,1,0,en,negative
117,well the package went to the next town over make of that what you will .,well the package went to the next town over make of that what you will,0,negative,Sarcasm,negative,Electronics,16,15,long,1,1,0,en,negative
118,The tracking was left near a swamp Oh well .,the tracking was left near a swamp oh well,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,1,1,0,en,negative
120,So The package arrived looking like a swamp Fascinating hmm,so the package arrived looking like a swamp,0,negative,Frustration,negative,Automotive,10,8,medium,0,1,0,en,negative
121,the package went to a pdudle end of story wow,the package went to a pdudle end of story,0,negative,Disappointment,negative,Electronics,10,9,medium,4,1,0,en,negative
122,If im being real The guy arrived looking like an accordion Whatever hmm,if im being real the guy arrived looking like an accordion,0,negative,Frustration,negative,Automotive,13,11,medium,0,1,0,en,negative
123,first off the carrier ended up in the neighbor's trash yeah,first off the carrier ended up in the neighbor's trash,0,negative,Disappointment,negative,Home & Kitchen,11,10,medium,0,1,0,en,negative
124,If im being real The package was left near a swamp smh,if im being real the package was left near a swamp,0,negative,Sarcasm,negative,Automotive,12,11,medium,0,1,0,en,negative
125,Honestly The delivery spent a week in the next town over Yup smh,honestly the delivery spent a week in the next town over,0,negative,Frustration,negative,Electronics,13,11,medium,4,1,0,en,negative
126,bruh the package got tossed nito a puddle,the package got tossed nito a puddle,0,negative,Sarcasm,negative,Home & Kitchen,8,7,short,1,1,0,en,negative
128,The box arrived looking like the neighbors trash,the box arrived looking like the neighbors trash,0,negative,Sarcasm,negative,Sports & Outdoors,8,8,medium,1,1,0,en,negative
129,Look The box spent a week in the neighbors trash wow,look the box spent a week in the neighbors trash,0,negative,Frustration,negative,Clothing,11,10,medium,0,1,0,en,negative
130,if im being real the carrier went to the neighbor's trash fascinating ok,if im being real the carrier went to the neighbor's trash ok,0,negative,Disappointment,negative,Automotive,13,12,medium,0,1,0,en,negative
131,I guess The packgae ended up in the neighbor's trash hmm,i guess the packgae ended up in the neighbor's trash,0,negative,Sarcasm,negative,Sports & Outdoors,11,10,medium,0,1,0,en,negative
132,the carrier was left near a swamp,the carrier was left near a swamp,0,negative,Disappointment,negative,Automotive,7,7,short,2,1,0,en,negative
133,honestly the guy arrived looking liket he neighbor's trash,honestly the guy arrived looking liket he neighbor's trash,0,negative,Disappointment,negative,Home & Kitchen,9,9,medium,1,1,0,en,negative
134,Well My shipment was left near the next town over Just putting it out there,well my shipment was left near the next town over just putting it out there,0,negative,Sarcasm,negative,Clothing,15,15,long,1,1,0,en,negative
135,My shipment looked like it visited a warzone Just putting it out there yeah,my shipment looked like it visited a warzone just putting it out there,0,negative,Disappointment,negative,Automotive,14,13,medium,0,1,0,en,negative
136,so the box went to the next town over hmm,so the box went to the next town over,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,0,1,0,en,negative
137,my shipment ended up in a puddle yup hmm,my shipment ended up in a puddle,0,negative,Sarcasm,negative,Electronics,9,7,short,4,1,0,en,negative
138,Listen  The guy arrived looking like another state hmm,listen the guy arrived looking like another state,0,negative,Sarcasm,negative,Electronics,9,8,medium,0,1,0,en,negative
139,the package spent a week in the neighbor's trash anyway hmm,the package spent a week in the neighbor's trash,0,negative,Disappointment,negative,Home & Kitchen,11,9,medium,4,1,0,en,negative
140,Okay The delivery looked like it visited another state Anyway,okay the delivery looked like it visited another state,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,1,1,0,en,negative
141,Honestly The delivery went to a puddle Make of that what you will lol,honestly the delivery went to a puddle make of that what you will,0,negative,Sarcasm,negative,Electronics,14,13,medium,1,1,0,en,negative
143,Bruh  My shipment got tossed into an accordion wow,my shipment got tossed into an accordion,0,negative,Disappointment,negative,Electronics,9,7,short,0,1,0,en,negative
144,First off My shipment went to the neighbor's trash ok,first off my shipment went to the neighbor's trash ok,0,negative,Disappointment,negative,Clothing,10,10,medium,0,1,0,en,negative
145,I  guess The delivery got tossed into a puddle Whatever ??,i guess the delivery got tossed into a puddle,0,negative,Sarcasm,negative,Home & Kitchen,11,9,medium,0,1,0,en,negative
146,Look The box spent a week in the next town over End of story,look the box spent a week in the next town over end of story,0,negative,Disappointment,negative,Electronics,14,14,medium,3,1,0,en,negative
147,My shipment was left near a warzone Take ti or leave it yeah,my shipment was left near a warzone take ti or leave it,0,negative,Sarcasm,negative,Sports & Outdoors,13,12,medium,1,1,0,en,negative
148,the tracking arrived looking like the next town over fascinating lol,the tracking arrived looking like the next town over,0,negative,Sarcasm,negative,Clothing,11,9,medium,8,1,0,en,negative
149,look the tracking was left near an accordion smh,look the tracking was left near an accordion,0,negative,Sarcasm,negative,Clothing,9,8,medium,2,1,0,en,negative
150,The tracking went to an accordion Just putting it out there hmm,the tracking went to an accordion just putting it out there,0,negative,Disappointment,negative,Home & Kitchen,12,11,medium,2,1,0,en,negative
151,right so the box looked like it visited the next town over end of story ok,right so the box looked like it visited the next town over end of story ok,0,negative,Disappointment,negative,Sports & Outdoors,16,16,long,0,1,0,en,negative
152,Bruh The tracking was left near the neighbors trash,the tracking was left near the neighbors trash,0,negative,Disappointment,negative,Clothing,9,8,medium,0,1,0,en,negative
153,bruh the delivery arrived looking like an accordion cheers wow,the delivery arrived looking like an accordion,0,negative,Sarcasm,negative,Clothing,10,7,short,0,1,0,en,negative
154,Right so The delivery got tossed into the next otwn over Anyway ??,right so the delivery got tossed into the next otwn over,0,negative,Frustration,negative,Home & Kitchen,13,11,medium,4,1,0,en,negative
155,My shipment arrived looking like a puddle Take it or leave it,my shipment arrived looking like a puddle take it or leave it,0,negative,Disappointment,negative,Home & Kitchen,12,12,medium,1,1,0,en,negative
157,first  off the package looke dlike it visited a swamp end of story,first off the package looke dlike it visited a swamp end of story,0,negative,Frustration,negative,Home & Kitchen,13,13,medium,2,1,0,en,negative
158,the  package was left nea ranother state hmm,the package was left nea ranother state,0,negative,Disappointment,negative,Automotive,8,7,short,0,1,0,en,negative
159,i guess the box went to another state yeah,i guess the box went to another state,0,negative,Frustration,negative,Electronics,9,8,medium,0,1,0,en,negative
160,Wow The carrier looked like it visited another state ??,the carrier looked like it visited another state,0,negative,Sarcasm,negative,Sports & Outdoors,10,8,medium,2,1,0,en,negative
161,Look The box arrived looking like an accordion Make of that what you will tbh,look the box arrived looking like an accordion make of that what you will,0,negative,Disappointment,negative,Automotive,15,14,medium,0,1,0,en,negative
162,so the package went to the neighbors trash just putting it out there,so the package went to the neighbors trash just putting it out there,0,negative,Frustration,negative,Clothing,13,13,medium,5,1,0,en,negative
163,If im being real The tracking ended up in the next town over !!,if im being real the tracking ended up in the next town over,0,negative,Sarcasm,negative,Sports & Outdoors,14,13,medium,1,1,0,en,negative
164,I guess The tracking ended up in a warzone Just putting it out there .,i guess the tracking ended up in a warzone just putting it out there,0,negative,Frustration,negative,Electronics,15,14,medium,1,1,0,en,negative
165,the delivery ended up in the neighbor's trash ok,the delivery ended up in the neighbor's trash ok,0,negative,Sarcasm,negative,Automotive,9,9,medium,0,1,0,en,negative
166,the tracking went to a warzone tbh,the tracking went to a warzone,0,negative,Frustration,negative,Electronics,7,6,short,1,1,0,en,negative
167,the carrier looked like it visited the neighbors trash wow,the carrier looked like it visited the neighbors trash,0,negative,Frustration,negative,Automotive,10,9,medium,2,1,0,en,negative
168,The delivery got tossed into a puddle yeah,the delivery got tossed into a puddle,0,negative,Sarcasm,negative,Electronics,8,7,short,0,1,0,en,negative
169,okay  the delivery went to another state tbh,okay the delivery went to another state,0,negative,Sarcasm,negative,Clothing,8,7,short,0,1,0,en,negative
171,listen the tracking looked like it visited a puddle lol,listen the tracking looked like it visited a puddle,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,1,1,0,en,negative
172,If im being real The box got tossed into another state Make of that what you will wow,if im being real the box got tossed into another state make of that what you will,0,negative,Frustration,negative,Clothing,18,17,long,2,1,0,en,negative
173,Listen The delivery was left near a warzone Whatever ??,listen the delivery was left near a warzone,0,negative,Frustration,negative,Electronics,10,8,medium,0,1,0,en,negative
176,The box ended up in another state Oh well ??,the box ended up in another state oh well,0,negative,Sarcasm,negative,Electronics,10,9,medium,1,1,0,en,negative
177,Well My shipment was left near a swamp Take it or leave it,well my shipment was left near a swamp take it or leave it,0,negative,Sarcasm,negative,Automotive,13,13,medium,6,1,0,en,negative
178,so my shipment spent a week in the neighbor's trash tbh,so my shipment spent a week in the neighbor's trash,0,negative,Sarcasm,negative,Automotive,11,10,medium,0,1,0,en,negative
179,So The delivery was left near a puddle Cheers ok,so the delivery was left near a puddle ok,0,negative,Frustration,negative,Clothing,10,9,medium,2,1,0,en,negative
180,if im being real the tracking spent a week in a puddle smh,if im being real the tracking spent a week in a puddle,0,negative,Disappointment,negative,Automotive,13,12,medium,1,1,0,en,negative
181,the carrier spent a week in the next town over just putting it out there lol,the carrier spent a week in the next town over just putting it out there,0,negative,Sarcasm,negative,Electronics,16,15,long,0,1,0,en,negative
182,The carrier ended up in the next town over ??,the carrier ended up in the next town over,0,negative,Disappointment,negative,Home & Kitchen,10,9,medium,1,1,0,en,negative
183,Wow The tracking looked like it visited another state,the tracking looked like it visited another state,0,negative,Frustration,negative,Clothing,9,8,medium,3,1,0,en,negative
184,Ok so The guy ended up in an accordion Take it or leave it,ok so the guy ended up in an accordion take it or leave it,0,negative,Disappointment,negative,Home & Kitchen,14,14,medium,0,1,0,en,negative
185,The guy got tossed into another state ??,the guy got tossed into another state,0,negative,Disappointment,negative,Clothing,8,7,short,0,1,0,en,negative
188,If im being real The guy went to an accordion Oh well ??,if im being real the guy went to an accordion oh well,0,negative,Sarcasm,negative,Automotive,13,12,medium,3,1,0,en,negative
189,The guy looked like it visited another state Whatever wow,the guy looked like it visited another state,0,negative,Frustration,negative,Automotive,10,8,medium,2,1,0,en,negative
192,Honestly The carrier spent a week in another state Fascinating ??,honestly the carrier spent a week in another state,0,negative,Frustration,negative,Electronics,11,9,medium,1,1,0,en,negative
194,The delivery was left near a puddle smh,the delivery was left near a puddle,0,negative,Sarcasm,negative,Electronics,8,7,short,1,1,0,en,negative
195,Honestly  The tracking went to a puddle Make of that what you will ok,honestly the tracking went to a puddle make of that what you will ok,0,negative,Frustration,negative,Automotive,14,14,medium,0,1,0,en,negative
196,The guy went to a puddle Just putting it out there ok,the guy went to a puddle just putting it out there ok,0,negative,Frustration,negative,Electronics,12,12,medium,7,1,0,en,negative
197,if im being real the tracking looked like it visited the next town over lol,if im being real the tracking looked like it visited the next town over,0,negative,Disappointment,negative,Home & Kitchen,15,14,medium,2,1,0,en,negative
198,Honestly The carrier went to another state Oh well lol,honestly the carrier went to another state oh well,0,negative,Frustration,negative,Clothing,10,9,medium,0,1,0,en,negative
199,The box spent a week in an accordion Whatever wow,the box spent a week in an accordion,0,negative,Disappointment,negative,Home & Kitchen,10,8,medium,0,1,0,en,negative
200,look the carrier got tossed into the next town over anyway,look the carrier got tossed into the next town over,0,negative,Frustration,negative,Home & Kitchen,11,10,medium,2,1,0,en,negative
202,ok  so the carrier was left near an accordion hmm,ok so the carrier was left near an accordion,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,0,1,0,en,negative
203,If im being real My shipment was left near another state yeah,if im being real my shipment was left near another state,0,negative,Disappointment,negative,Automotive,12,11,medium,3,1,0,en,negative
204,Okay The tracking went to another state Just putting it out there ??,okay the tracking went to another state just putting it out there,0,negative,Disappointment,negative,Electronics,13,12,medium,0,1,0,en,negative
205,I guess The tracking looked like it visited a swamp Just putting it out there ??,i guess the tracking looked like it visited a swamp just putting it out there,0,negative,Sarcasm,negative,Clothing,16,15,long,3,1,0,en,negative
206,If im being real The delivery was left near the next town over Take it or leave it smh,if im being real the delivery was left near the next town over take it or leave it,0,negative,Frustration,negative,Clothing,19,18,long,1,1,0,en,negative
207,honestly the carrier arrived looking like another state lol,honestly the carrier arrived looking like another state,0,negative,Sarcasm,negative,Sports & Outdoors,9,8,medium,4,1,0,en,negative
208,honestly the tracking went to the next town over oh well wow,honestly the tracking went to the next town over oh well,0,negative,Disappointment,negative,Automotive,12,11,medium,0,1,0,en,negative
210,First off The delivery went to another state tbh,first off the delivery went to another state,0,negative,Disappointment,negative,Automotive,9,8,medium,0,1,0,en,negative
211,The  carrier went to an accordion Take it or leave it tbh,the carrier went to an accordion take it or leave it,0,negative,Disappointment,negative,Clothing,12,11,medium,1,1,0,en,negative
212,ok so my shipment was left near the neighbor's trash smh,ok so my shipment was left near the neighbor's trash,0,negative,Disappointment,negative,Clothing,11,10,medium,0,1,0,en,negative
213,my shipment got tossed into a swamp anyway ??,my shipment got tossed into a swamp,0,negative,Disappointment,negative,Clothing,9,7,short,4,1,0,en,negative
