id,text,text_clean,label,sentiment_label,emotion,emotion_group,category,word_count,word_count_clean,length_bucket,helpfulness_score,implicit_flag,is_spam,language,manual_label_normalized,vader_label,vader_compound,vader_pos_conf,vader_neu_conf,vader_neg_conf,transformer_label,transformer_confidence,transformer_score
13,bruh  the package got tossed into a puddle lol,the package got tossed into a puddle,0,negative,Sarcasm,negative,Electronics,9,7,short,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9995723366737366,-0.9995723366737366
14,Honestly  The delivery ended up in the neighbor's trash Just putting it out there,honestly the delivery ended up in the neighbor's trash just putting it out there,0,negative,Disappointment,negative,Sports & Outdoors,14,14,medium,0,1,0,en,negative,positive,0.4588,0.188,0.812,0.0,negative,0.9991012811660767,-0.9991012811660767
15,The tracking looked like it visited another state End of story smh,the tracking looked like it visited another state end of story,0,negative,Sarcasm,negative,Automotive,12,11,medium,3,1,0,en,negative,positive,0.3612,0.2,0.8,0.0,negative,0.9967910647392273,-0.9967910647392273
16,The  carrier got tossed into another state lol,the carrier got tossed into another state,0,negative,Sarcasm,negative,Automotive,8,7,short,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9979304075241089,-0.9979304075241089
17,Well  The tracking looked like it visited a warzone End of story .,well the tracking looked like it visited a warzone end of story,0,negative,Frustration,negative,Clothing,13,12,medium,1,1,0,en,negative,positive,0.5574,0.338,0.662,0.0,negative,0.9919605851173401,-0.9919605851173401
18,Well  The tracking looked like it visited an accordion Just putting it out there hmm,well the tracking looked like it visited an accordion just putting it out there,0,negative,Sarcasm,negative,Sports & Outdoors,15,14,medium,4,1,0,en,negative,positive,0.5574,0.277,0.723,0.0,negative,0.9943291544914246,-0.9943291544914246
19,so the tracking spen ta week in a puddle tbh,so the tracking spen ta week in a puddle,0,negative,Sarcasm,negative,Clothing,10,9,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9972566962242126,-0.9972566962242126
20,The delivery arrived looking like a swamp wow,the delivery arrived looking like a swamp,0,negative,Sarcasm,negative,Home & Kitchen,8,7,short,1,1,0,en,negative,positive,0.3612,0.333,0.667,0.0,negative,0.999627947807312,-0.999627947807312
21,Honestly The delivery spent a week in an accordion,honestly the delivery spent a week in an accordion,0,negative,Frustration,negative,Home & Kitchen,9,9,medium,0,1,0,en,negative,positive,0.4588,0.3,0.7,0.0,negative,0.9790518283843994,-0.9790518283843994
22,Look The carrier was left near the next town over,look the carrier was left near the next town over,0,negative,Sarcasm,negative,Automotive,10,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9987145662307739,-0.9987145662307739
23,Bruh The package went to the next town over Fascinating tbh,the package went to the next town over,0,negative,Frustration,negative,Automotive,11,8,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9454960227012634,-0.9454960227012634
24,If im being real The box ended up in an accordion Make of that what you will,if im being real the box ended up in an accordion make of that what you will,0,negative,Sarcasm,negative,Automotive,17,17,long,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,positive,0.909846842288971,0.909846842288971
25,the delivery arrived looking like a warzone take it or leave it tbh,the delivery arrived looking like a warzone take it or leave it,0,negative,Frustration,negative,Electronics,13,12,medium,0,1,0,en,negative,positive,0.3182,0.197,0.709,0.094,negative,0.9985582232475281,-0.9985582232475281
26,look the guy was left near an accordion end of story tbh,look the guy was left near an accordion end of story,0,negative,Frustration,negative,Sports & Outdoors,12,11,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9990992546081543,-0.9990992546081543
27,Wow The delivery got tossed into a swamp End of story tbh,the delivery got tossed into a swamp end of story,0,negative,Disappointment,negative,Home & Kitchen,12,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9995697140693665,-0.9995697140693665
29,Ok so The box got tossed into an accordion Make of that what you will ??,ok so the box got tossed into an accordion make of that what you will,0,negative,Frustration,negative,Automotive,16,15,long,0,1,0,en,negative,positive,0.296,0.136,0.864,0.0,positive,0.7319938540458679,0.7319938540458679
30,Right so My shipment spent a week in another state Cheers smh,right so my shipment spent a week in another state,0,negative,Disappointment,negative,Electronics,12,10,medium,3,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9983950257301331,-0.9983950257301331
31,the guy ended up in the neighbor's trash cheers lol,the guy ended up in the neighbor's trash,0,negative,Disappointment,negative,Clothing,10,8,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9995852112770081,-0.9995852112770081
32,Bruh My shipment went to the neighbor's trash Whatever lol,my shipment went to the neighbor's trash,0,negative,Sarcasm,negative,Electronics,10,7,short,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9990648627281189,-0.9990648627281189
33,The delivery spent a week in a puddle ok,the delivery spent a week in a puddle ok,0,negative,Frustration,negative,Sports & Outdoors,9,9,medium,1,1,0,en,negative,positive,0.296,0.268,0.732,0.0,negative,0.9983131885528564,-0.9983131885528564
34,I guess My shipment looked like it visited a puddle !!,i guess my shipment looked like it visited a puddle,0,negative,Sarcasm,negative,Automotive,11,10,medium,2,1,0,en,negative,positive,0.3612,0.263,0.737,0.0,negative,0.9983155727386475,-0.9983155727386475
36,Listen The box got tossed into another state Just putting it out there lol,listen the box got tossed into another state just putting it out there,0,negative,Frustration,negative,Clothing,14,13,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9986737966537476,-0.9986737966537476
37,If im being real My shipment went to another state Whatever hmm,if im being real my shipment went to another state,0,negative,Sarcasm,negative,Automotive,12,10,medium,3,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9985511898994446,-0.9985511898994446
38,listen the guy arrived looking like the next town over !!,listen the guy arrived looking like the next town over,0,negative,Frustration,negative,Electronics,11,10,medium,0,1,0,en,negative,positive,0.3612,0.217,0.783,0.0,negative,0.9253584146499634,-0.9253584146499634
41,First off The tracking went to a warzone Take it or leave it tbh,first off the tracking went to a warzone take it or leave it,0,negative,Sarcasm,negative,Sports & Outdoors,14,13,medium,2,1,0,en,negative,negative,-0.0516,0.0,0.902,0.098,negative,0.9975523352622986,-0.9975523352622986
43,Look The carrier got otssed into the next town over Yup ??,look the carrier got otssed into the next town over,0,negative,Sarcasm,negative,Clothing,12,10,medium,8,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9852489829063416,-0.9852489829063416
44,right so the box arrived looking like a warzone yeah,right so the box arrived looking like a warzone,0,negative,Disappointment,negative,Clothing,10,9,medium,0,1,0,en,negative,positive,0.3612,0.263,0.737,0.0,negative,0.993161678314209,-0.993161678314209
45,First off The delivery got tossed into a puddle Yup tbh,first off the delivery got tossed into a puddle,0,negative,Frustration,negative,Electronics,11,9,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.999653697013855,-0.999653697013855
46,Right so The tracking ended up in the next town over Whatever .,right so the tracking ended up in the next town over,0,negative,Sarcasm,negative,Sports & Outdoors,13,11,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.8065385818481445,-0.8065385818481445
47,the  box arrived looking like an accordion take it or leave it yeah,the box arrived looking like an accordion take it or leave it,0,negative,Disappointment,negative,Sports & Outdoors,13,12,medium,1,1,0,en,negative,positive,0.3182,0.182,0.73,0.088,negative,0.9962284564971924,-0.9962284564971924
48,The  tracking spent a week in the neighbor'st rash Cheers,the tracking spent a week in the neighbor'st rash,0,negative,Disappointment,negative,Clothing,10,9,medium,2,1,0,en,negative,negative,-0.4019,0.0,0.722,0.278,negative,0.997848629951477,-0.997848629951477
50,okay the tracking looked like it visited an accordion end of story,okay the tracking looked like it visited an accordion end of story,0,negative,Disappointment,negative,Clothing,12,12,medium,5,1,0,en,negative,positive,0.5267,0.306,0.694,0.0,negative,0.9743571281433105,-0.9743571281433105
51,Look My shipment ended up in another state End of story,look my shipment ended up in another state end of story,0,negative,Disappointment,negative,Automotive,11,11,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9953922033309937,-0.9953922033309937
52,the delivery went ot an accordion,the delivery went ot an accordion,0,negative,Frustration,negative,Home & Kitchen,6,6,short,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9827341437339783,-0.9827341437339783
53,The tracking was left near a warzone Anyway !!,the tracking was left near a warzone,0,negative,Disappointment,negative,Sports & Outdoors,9,7,short,7,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9994117021560669,-0.9994117021560669
54,Ok so The guy ended up in the next town over Just putting it out there hmm,ok so the guy ended up in the next town over just putting it out there,0,negative,Disappointment,negative,Home & Kitchen,17,16,long,1,1,0,en,negative,positive,0.296,0.128,0.872,0.0,negative,0.980401337146759,-0.980401337146759
55,The  tracking was left near a puddle .,the tracking was left near a puddle,0,negative,Disappointment,negative,Sports & Outdoors,8,7,short,6,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9996570348739624,-0.9996570348739624
57,Ok so The delivery spent a week in a swamp yeah,ok so the delivery spent a week in a swamp,0,negative,Disappointment,negative,Automotive,11,10,medium,5,1,0,en,negative,positive,0.296,0.239,0.761,0.0,negative,0.9932438731193542,-0.9932438731193542
58,i guess my shipment got tossed into a swamp oh well hmm,i guess my shipment got tossed into a swamp oh well,0,negative,Sarcasm,negative,Electronics,12,11,medium,1,1,0,en,negative,positive,0.2732,0.208,0.792,0.0,negative,0.9993963241577148,-0.9993963241577148
59,Honestly The package arrived looking like a swamp End of story,honestly the package arrived looking like a swamp end of story,0,negative,Frustration,negative,Electronics,11,11,medium,1,1,0,en,negative,positive,0.6705,0.407,0.593,0.0,negative,0.9828686714172363,-0.9828686714172363
60,the delivery went to another state anyway tbh,the delivery went to another state,0,negative,Frustration,negative,Clothing,8,6,short,4,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9973410964012146,-0.9973410964012146
62,the package spent a week in another state make of that what you will,the package spent a week in another state make of that what you will,0,negative,Disappointment,negative,Automotive,14,14,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,positive,0.9316427111625671,0.9316427111625671
63,The guy looked like it visited a puddle End of story wow,the guy looked like it visited a puddle end of story,0,negative,Disappointment,negative,Sports & Outdoors,12,11,medium,2,1,0,en,negative,positive,0.3612,0.217,0.783,0.0,negative,0.994255006313324,-0.994255006313324
64,Listen The carrier got tossed into the neighbor's trsah Anyway ok,listen the carrier got tossed into the neighbor's trsah ok,0,negative,Sarcasm,negative,Home & Kitchen,11,10,medium,6,1,0,en,negative,positive,0.296,0.196,0.804,0.0,negative,0.9969336986541748,-0.9969336986541748
65,Wow The delivery was left near another state .,the delivery was left near another state,0,negative,Sarcasm,negative,Home & Kitchen,9,7,short,3,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9996777772903442,-0.9996777772903442
66,Bruh  My shipment spent a week in the next town over Cheers .,my shipment spent a week in the next town over,0,negative,Frustration,negative,Automotive,13,10,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9972044825553894,-0.9972044825553894
68,Okay The tracking ended up in another state Cheers,okay the tracking ended up in another state,0,negative,Disappointment,negative,Automotive,9,8,medium,0,1,0,en,negative,positive,0.2263,0.213,0.787,0.0,negative,0.6801891922950745,-0.6801891922950745
69,Honestly The box was left near a warzone End of story tbh,honestly the box was left near a warzone end of story,0,negative,Sarcasm,negative,Automotive,12,11,medium,3,1,0,en,negative,positive,0.4588,0.25,0.75,0.0,negative,0.9980977177619934,-0.9980977177619934
70,first off the package ended up in a warzone ok,first off the package ended up in a warzone ok,0,negative,Frustration,negative,Electronics,10,10,medium,0,1,0,en,negative,positive,0.296,0.216,0.784,0.0,positive,0.5599663257598877,0.5599663257598877
72,Well The guy was left near a warzone Anyway,well the guy was left near a warzone,0,negative,Disappointment,negative,Automotive,9,8,medium,1,1,0,en,negative,positive,0.2732,0.259,0.741,0.0,negative,0.9995225667953491,-0.9995225667953491
73,honestly the carrier looked like it visited a puddle ok,honestly the carrier looked like it visited a puddle ok,0,negative,Disappointment,negative,Sports & Outdoors,10,10,medium,2,1,0,en,negative,positive,0.7717,0.562,0.438,0.0,negative,0.9911379218101501,-0.9911379218101501
74,The package went to a warzone Just putting it out there .,the package went to a warzone just putting it out there,0,negative,Disappointment,negative,Sports & Outdoors,12,11,medium,6,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9966559410095215,-0.9966559410095215
75,Okay My shipment went to an accordion,okay my shipment went to an accordion,0,negative,Frustration,negative,Sports & Outdoors,7,7,short,0,1,0,en,negative,positive,0.2263,0.241,0.759,0.0,negative,0.9756309986114502,-0.9756309986114502
77,wow  the box spent a week in a swamp whatever wow,the box spent a week in a swamp,0,negative,Disappointment,negative,Automotive,11,8,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9983383417129517,-0.9983383417129517
78,listen the guy spent a week in the next town over make of that what you will hmm,listen the guy spent a week in the next town over make of that what you will,0,negative,Sarcasm,negative,Electronics,18,17,long,13,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,positive,0.976485013961792,0.976485013961792
79,Ok so The delivery was left near the next town over Fascinating .,ok so the delivery was left near the next town over,0,negative,Sarcasm,negative,Clothing,13,11,medium,6,1,0,en,negative,positive,0.296,0.18,0.82,0.0,negative,0.996795117855072,-0.996795117855072
80,The box ended up in a swamp tbh,the box ended up in a swamp,0,negative,Disappointment,negative,Clothing,8,7,short,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9994617104530334,-0.9994617104530334
81,Wow The box arrived looking like the next town over Oh well lol,the box arrived looking like the next town over oh well,0,negative,Sarcasm,negative,Electronics,13,11,medium,0,1,0,en,negative,positive,0.5574,0.338,0.662,0.0,negative,0.9536488652229309,-0.9536488652229309
82,well the package got tossed into another state ok,well the package got tossed into another state ok,0,negative,Sarcasm,negative,Home & Kitchen,9,9,medium,4,1,0,en,negative,positive,0.5106,0.381,0.619,0.0,negative,0.9544321298599243,-0.9544321298599243
83,My shipment spent a week in a warzone yeah,my shipment spent a week in a warzone,0,negative,Disappointment,negative,Home & Kitchen,9,8,medium,11,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.99814772605896,-0.99814772605896
85,If im being real The box arrived looking like a puddle Yup lol,if im being real the box arrived looking like a puddle,0,negative,Frustration,negative,Clothing,13,11,medium,0,1,0,en,negative,positive,0.3612,0.217,0.783,0.0,negative,0.9995385408401489,-0.9995385408401489
86,Ok so My shipment ended up in the neighbor's trash .,ok so my shipment ended up in the neighbor's trash,0,negative,Frustration,negative,Home & Kitchen,11,10,medium,2,1,0,en,negative,positive,0.296,0.196,0.804,0.0,negative,0.9978941082954407,-0.9978941082954407
87,if im being real my shipment was left near an accordion hmm,if im being real my shipment was left near an accordion,0,negative,Frustration,negative,Automotive,12,11,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9982420206069946,-0.9982420206069946
90,so the guy arrived looking like an accordion just putting it out there wow,so the guy arrived looking like an accordion just putting it out there,0,negative,Sarcasm,negative,Electronics,14,13,medium,1,1,0,en,negative,positive,0.3612,0.172,0.828,0.0,negative,0.9952147006988525,-0.9952147006988525
91,I guess The package was left near the neighbors trash End of story lol,i guess the package was left near the neighbors trash end of story,0,negative,Sarcasm,negative,Clothing,14,13,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9996817111968994,-0.9996817111968994
94,Okay  My shipment went to another state Oh well,okay my shipment went to another state oh well,0,negative,Sarcasm,negative,Home & Kitchen,9,9,medium,0,1,0,en,negative,positive,0.4588,0.364,0.636,0.0,negative,0.9435983300209045,-0.9435983300209045
95,Bruh The tracking ended up in hte next town over End of story hmm,the tracking ended up in hte next town over end of story,0,negative,Frustration,negative,Clothing,14,12,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9906304478645325,-0.9906304478645325
96,The  carrier went to another state Fascinating ok,the carrier went to another state ok,0,negative,Disappointment,negative,Automotive,8,7,short,2,1,0,en,negative,positive,0.296,0.268,0.732,0.0,negative,0.9284597635269165,-0.9284597635269165
97,Wow  The delivery ended up in a warzone,the delivery ended up in a warzone,0,negative,Sarcasm,negative,Clothing,8,7,short,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9986826777458191,-0.9986826777458191
98,Ok so The carrier was left near a swamp ok,ok so the carrier was left near a swamp ok,0,negative,Frustration,negative,Automotive,10,10,medium,7,1,0,en,negative,positive,0.5267,0.386,0.614,0.0,negative,0.986621618270874,-0.986621618270874
99,First off The package was left near another state Take it orl eave it smh,first off the package was left near another state take it orl eave it,0,negative,Sarcasm,negative,Clothing,15,14,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9995005130767822,-0.9995005130767822
100,Okay My shipment looked like it visited a puddle lol,okay my shipment looked like it visited a puddle,0,negative,Frustration,negative,Home & Kitchen,10,9,medium,0,1,0,en,negative,positive,0.5267,0.423,0.577,0.0,negative,0.9971312284469604,-0.9971312284469604
101,look the package was left near the enighbors trash whatever wow,look the package was left near the enighbors trash,0,negative,Disappointment,negative,Home & Kitchen,11,9,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9996851682662964,-0.9996851682662964
102,The tracking was left near another state Just putting it out there .,the tracking was left near another state just putting it out there,0,negative,Sarcasm,negative,Automotive,13,12,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9997299313545227,-0.9997299313545227
103,so my shipment was left near a puddle oh well yeah,so my shipment was left near a puddle oh well,0,negative,Frustration,negative,Electronics,11,10,medium,0,1,0,en,negative,positive,0.2732,0.208,0.792,0.0,negative,0.9995505213737488,-0.9995505213737488
104,okay the tracking arrived looking like the negihbor's trash anyway tbh,okay the tracking arrived looking like the negihbor's trash,0,negative,Disappointment,negative,Home & Kitchen,11,9,medium,1,1,0,en,negative,positive,0.5267,0.386,0.614,0.0,negative,0.9995442032814026,-0.9995442032814026
105,Wow The box ended up in an accordion,the box ended up in an accordion,0,negative,Disappointment,negative,Home & Kitchen,8,7,short,3,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9874221086502075,-0.9874221086502075
106,I guess My shipment got tossed into a warzone Oh well,i guess my shipment got tossed into a warzone oh well,0,negative,Disappointment,negative,Clothing,11,11,medium,1,1,0,en,negative,positive,0.2732,0.208,0.792,0.0,negative,0.9989732503890991,-0.9989732503890991
107,Look Thet racking ended up in the neighbor's trash,look thet racking ended up in the neighbor's trash,0,negative,Frustration,negative,Clothing,9,9,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9995294809341431,-0.9995294809341431
108,Ok so The guy spent a week in another state,ok so the guy spent a week in another state,0,negative,Disappointment,negative,Automotive,10,10,medium,0,1,0,en,negative,positive,0.296,0.216,0.784,0.0,positive,0.8046538233757019,0.8046538233757019
109,The  tracking ended up in an accordion Just putting it out there,the tracking ended up in an accordion just putting it out there,0,negative,Frustration,negative,Sports & Outdoors,12,12,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9947559833526611,-0.9947559833526611
110,The  delivery went to a swamp,the delivery went to a swamp,0,negative,Frustration,negative,Automotive,6,6,short,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9988388419151306,-0.9988388419151306
111,Bruh The guy was left near an accordion Take it or leave it ok,the guy was left near an accordion take it or leave it ok,0,negative,Frustration,negative,Electronics,14,13,medium,1,1,0,en,negative,positive,0.25,0.153,0.764,0.083,negative,0.9977238774299622,-0.9977238774299622
112,bruh the delivery looked like it visited an accordion cheers !!,the delivery looked like it visited an accordion,0,negative,Frustration,negative,Home & Kitchen,11,8,medium,1,1,0,en,negative,positive,0.3612,0.263,0.737,0.0,negative,0.9766493439674377,-0.9766493439674377
113,listen the guy looked like it visited an accordion fascinating lol,listen the guy looked like it visited an accordion,0,negative,Sarcasm,negative,Clothing,11,9,medium,0,1,0,en,negative,positive,0.3612,0.238,0.762,0.0,negative,0.9796883463859558,-0.9796883463859558
114,look my shipment spent a week in  apuddle oh well tbh,look my shipment spent a week in apuddle oh well,0,negative,Disappointment,negative,Automotive,11,10,medium,3,1,0,en,negative,positive,0.2732,0.208,0.792,0.0,negative,0.9903220534324646,-0.9903220534324646
115,The  delivery looked like it visited a puddle Oh well ok,the delivery looked like it visited a puddle oh well ok,0,negative,Sarcasm,negative,Electronics,11,11,medium,0,1,0,en,negative,positive,0.7003,0.493,0.507,0.0,negative,0.989018976688385,-0.989018976688385
116,The  carrier was left near another state Make of that what you will tbh,the carrier was left near another state make of that what you will,0,negative,Sarcasm,negative,Electronics,14,13,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9967316389083862,-0.9967316389083862
117,well the package went to the next town over make of that what you will .,well the package went to the next town over make of that what you will,0,negative,Sarcasm,negative,Electronics,16,15,long,1,1,0,en,negative,positive,0.2732,0.13,0.87,0.0,positive,0.949323832988739,0.949323832988739
118,The tracking was left near a swamp Oh well .,the tracking was left near a swamp oh well,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,1,1,0,en,negative,positive,0.2732,0.231,0.769,0.0,negative,0.9993009567260742,-0.9993009567260742
120,So The package arrived looking like a swamp Fascinating hmm,so the package arrived looking like a swamp,0,negative,Frustration,negative,Automotive,10,8,medium,0,1,0,en,negative,positive,0.3612,0.294,0.706,0.0,negative,0.9986122846603394,-0.9986122846603394
121,the package went to a pdudle end of story wow,the package went to a pdudle end of story,0,negative,Disappointment,negative,Electronics,10,9,medium,4,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9986979961395264,-0.9986979961395264
122,If im being real The guy arrived looking like an accordion Whatever hmm,if im being real the guy arrived looking like an accordion,0,negative,Frustration,negative,Automotive,13,11,medium,0,1,0,en,negative,positive,0.3612,0.2,0.8,0.0,negative,0.9972684383392334,-0.9972684383392334
123,first off the carrier ended up in the neighbor's trash yeah,first off the carrier ended up in the neighbor's trash,0,negative,Disappointment,negative,Home & Kitchen,11,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9997178912162781,-0.9997178912162781
124,If im being real The package was left near a swamp smh,if im being real the package was left near a swamp,0,negative,Sarcasm,negative,Automotive,12,11,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9991618394851685,-0.9991618394851685
125,Honestly The delivery spent a week in the next town over Yup smh,honestly the delivery spent a week in the next town over,0,negative,Frustration,negative,Electronics,13,11,medium,4,1,0,en,negative,positive,0.4588,0.25,0.75,0.0,negative,0.9820818305015564,-0.9820818305015564
126,bruh the package got tossed nito a puddle,the package got tossed nito a puddle,0,negative,Sarcasm,negative,Home & Kitchen,8,7,short,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9960827827453613,-0.9960827827453613
128,The box arrived looking like the neighbors trash,the box arrived looking like the neighbors trash,0,negative,Sarcasm,negative,Sports & Outdoors,8,8,medium,1,1,0,en,negative,positive,0.3612,0.263,0.737,0.0,negative,0.9995585083961487,-0.9995585083961487
129,Look The box spent a week in the neighbors trash wow,look the box spent a week in the neighbors trash,0,negative,Frustration,negative,Clothing,11,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9987179040908813,-0.9987179040908813
130,if im being real the carrier went to the neighbor's trash fascinating ok,if im being real the carrier went to the neighbor's trash ok,0,negative,Disappointment,negative,Automotive,13,12,medium,0,1,0,en,negative,positive,0.296,0.167,0.833,0.0,negative,0.9988517761230469,-0.9988517761230469
131,I guess The packgae ended up in the neighbor's trash hmm,i guess the packgae ended up in the neighbor's trash,0,negative,Sarcasm,negative,Sports & Outdoors,11,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9996778964996338,-0.9996778964996338
132,the carrier was left near a swamp,the carrier was left near a swamp,0,negative,Disappointment,negative,Automotive,7,7,short,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.999545156955719,-0.999545156955719
133,honestly the guy arrived looking liket he neighbor's trash,honestly the guy arrived looking liket he neighbor's trash,0,negative,Disappointment,negative,Home & Kitchen,9,9,medium,1,1,0,en,negative,positive,0.4588,0.273,0.727,0.0,negative,0.9976668357849121,-0.9976668357849121
134,Well My shipment was left near the next town over Just putting it out there,well my shipment was left near the next town over just putting it out there,0,negative,Sarcasm,negative,Clothing,15,15,long,1,1,0,en,negative,positive,0.2732,0.13,0.87,0.0,negative,0.9996340274810791,-0.9996340274810791
135,My shipment looked like it visited a warzone Just putting it out there yeah,my shipment looked like it visited a warzone just putting it out there,0,negative,Disappointment,negative,Automotive,14,13,medium,0,1,0,en,negative,positive,0.3612,0.185,0.815,0.0,negative,0.9981398582458496,-0.9981398582458496
136,so the box went to the next town over hmm,so the box went to the next town over,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0,negative,0.9953340888023376,-0.9953340888023376
